Date,Device,Downloads
02/09/2022,Android,593
02/09/2022,iOS,59
02/10/2022,Android,1421
02/10/2022,iOS,241
02/11/2022,Android,1446
02/11/2022,iOS,186
02/12/2022,Android,5226
02/12/2022,iOS,1278
02/13/2022,Android,6062
02/13/2022,iOS,2427
02/14/2022,Android,18136
02/14/2022,iOS,5315
02/15/2022,Android,3235
02/15/2022,iOS,1559
02/16/2022,Android,2120
02/16/2022,iOS,825
02/17/2022,Android,1910
02/17/2022,iOS,701
02/18/2022,Android,1721
02/18/2022,iOS,609
02/19/2022,Android,1682
02/19/2022,iOS,521
02/20/2022,Android,1633
02/20/2022,iOS,713
02/21/2022,Android,1704
02/21/2022,iOS,592
02/22/2022,Android,1647
02/22/2022,iOS,653
02/23/2022,Android,1684
02/23/2022,iOS,583
02/24/2022,Android,1462
02/24/2022,iOS,494
02/25/2022,Android,1584
02/25/2022,iOS,532
02/26/2022,Android,1293
02/26/2022,iOS,459
02/27/2022,Android,1463
02/27/2022,iOS,436
02/28/2022,Android,1538
02/28/2022,iOS,570
03/01/2022,Android,1710
03/01/2022,iOS,549
03/02/2022,Android,1252
03/02/2022,iOS,424
03/03/2022,Android,9728
03/03/2022,iOS,479
03/04/2022,Android,7155
03/04/2022,iOS,3859
03/05/2022,Android,1833
03/05/2022,iOS,750
03/06/2022,Android,1570
03/06/2022,iOS,482
03/07/2022,Android,2944
03/07/2022,iOS,505
03/08/2022,Android,10899
03/08/2022,iOS,1501
03/09/2022,Android,3819
03/09/2022,iOS,2845
03/10/2022,Android,2245
03/10/2022,iOS,768
03/11/2022,Android,1605
03/11/2022,iOS,552
03/12/2022,Android,1173
03/12/2022,iOS,341
03/13/2022,Android,835
03/13/2022,iOS,418
03/14/2022,Android,1767
03/14/2022,iOS,557
03/15/2022,Android,1709
03/15/2022,iOS,607
03/16/2022,Android,1625
03/16/2022,iOS,494
03/17/2022,Android,1567
03/17/2022,iOS,454
03/18/2022,Android,1286
03/18/2022,iOS,453
03/19/2022,Android,1210
03/19/2022,iOS,360
03/20/2022,Android,1278
03/20/2022,iOS,425
03/21/2022,Android,1415
03/21/2022,iOS,402
03/22/2022,Android,2030
03/22/2022,iOS,518
03/23/2022,Android,2088
03/23/2022,iOS,629
03/24/2022,Android,1814
03/24/2022,iOS,572
03/25/2022,Android,2198
03/25/2022,iOS,997
03/26/2022,Android,1292
03/26/2022,iOS,478
03/27/2022,Android,1185
03/27/2022,iOS,347
03/28/2022,Android,1354
03/28/2022,iOS,403
03/29/2022,Android,1524
03/29/2022,iOS,430
03/30/2022,Android,1672
03/30/2022,iOS,540
03/31/2022,Android,4341
03/31/2022,iOS,444
04/01/2022,Android,4584
04/01/2022,iOS,2673
04/02/2022,Android,1992
04/02/2022,iOS,639
04/03/2022,Android,1321
04/03/2022,iOS,385
04/04/2022,Android,1434
04/04/2022,iOS,409
04/05/2022,Android,1439
04/05/2022,iOS,429
04/06/2022,Android,1682
04/06/2022,iOS,507
04/07/2022,Android,4603
04/07/2022,iOS,754
04/08/2022,Android,2354
04/08/2022,iOS,1618
04/09/2022,Android,1778
04/09/2022,iOS,536
04/10/2022,Android,1532
04/10/2022,iOS,548
04/11/2022,Android,1687
04/11/2022,iOS,627
04/12/2022,Android,2198
04/12/2022,iOS,746
04/13/2022,Android,9316
04/13/2022,iOS,3541
04/14/2022,Android,1747
04/14/2022,iOS,832
04/15/2022,Android,1262
04/15/2022,iOS,514
04/16/2022,Android,1118
04/16/2022,iOS,441
04/17/2022,Android,633
04/17/2022,IOS,0